category,count,columns,row_id_width,col_width,total,sort,scatter,gather
std,16384,4,4,4,1110208,965584,137791,6833
rad,16384,4,4,4,1067958,950917,110416,6625
std,16384,4,4,4,1076166,959584,110291,6291
rad,16384,5,4,4,870375,752541,111542,6292
std,16384,5,4,4,1010084,892125,111209,6750
rad,16384,5,4,4,844459,726834,111375,6250
std,16384,5,4,4,1021083,903166,111292,6625
rad,16384,5,4,4,905167,785458,113334,6375
std,16384,5,4,4,1019291,900750,111583,6958
rad,16384,6,4,4,969416,851792,111583,6041
std,16384,6,4,4,961500,844416,110667,6417
rad,16384,6,4,4,989625,872250,111209,6166
std,16384,6,4,4,963958,846708,110750,6500
rad,16384,6,4,4,951417,834334,111125,5958
std,16384,6,4,4,944834,827666,110584,6584
rad,16384,7,4,4,842667,711750,123959,6958
std,16384,7,4,4,936625,815167,114292,7166
rad,16384,7,4,4,846041,724875,114458,6708
std,16384,7,4,4,951542,829875,114292,7375
rad,16384,7,4,4,818875,696833,115250,6792
std,16384,7,4,4,980250,836167,137167,6916
rad,16384,8,4,4,1075583,872458,195958,7167
std,16384,8,4,4,978500,827209,143916,7375
rad,16384,8,4,4,981875,849875,120333,11667
std,16384,8,4,4,958917,811541,139959,7417
rad,16384,8,4,4,960291,833542,119833,6916
std,16384,8,4,4,933084,791500,133625,7959
rad,65536,1,4,4,1291125,992542,276458,22125
std,65536,1,4,4,3819583,3481459,316708,21416
rad,65536,1,4,4,1287042,973000,275125,38917
std,65536,1,4,4,3750375,3425541,303542,21292
rad,65536,1,4,4,1247667,948584,278375,20708
std,65536,1,4,4,3686792,3391250,274917,20625
rad,65536,2,4,4,3235792,2789375,407667,38750
std,65536,2,4,4,3850500,3500666,329209,20625
rad,65536,2,4,4,3145709,2799292,313542,32875
std,65536,2,4,4,3934500,3552709,331666,50125
rad,65536,2,4,4,3084125,2748166,315292,20667
std,65536,2,4,4,3858750,3506417,331750,20583
rad,65536,3,4,4,2883500,2496166,352500,34834
std,65536,3,4,4,4021875,3629333,371083,21459
rad,65536,3,4,4,2937417,2506417,410375,20625
std,65536,3,4,4,3820750,3413833,386208,20709
rad,65536,3,4,4,2772750,2423000,329166,20584
std,65536,3,4,4,4246125,3817708,407750,20667
rad,65536,4,4,4,3588709,3135708,419084,33917
std,65536,4,4,4,4050083,3625042,402541,22500
rad,65536,4,4,4,3585792,3106041,433584,46167
std,65536,4,4,4,3999333,3563542,414958,20833
rad,65536,4,4,4,3439334,3017167,387792,34375
std,65536,4,4,4,3998417,3542875,434709,20833
rad,65536,5,4,4,3130458,2654625,436125,39708
std,65536,5,4,4,4092667,3636625,432500,23542
rad,65536,5,4,4,3127709,2568250,495959,63500
std,65536,5,4,4,3997250,3521083,455000,21167
rad,65536,5,4,4,3248000,2741583,438958,67459
std,65536,5,4,4,4113791,3541459,551166,21166
rad,65536,6,4,4,3857709,3268292,515000,74417
std,65536,6,4,4,4298750,3700166,508917,89667
rad,65536,6,4,4,3895500,3275958,554333,65209
std,65536,6,4,4,4153500,3643000,464750,45750
rad,65536,6,4,4,3803500,3217166,510625,75709
std,65536,6,4,4,4148292,3647042,469333,31917
rad,65536,7,4,4,3689042,2882625,752792,53625
std,65536,7,4,4,4155666,3569000,553375,33291
rad,65536,7,4,4,3561542,2890709,519958,150875
std,65536,7,4,4,4166708,3618542,513791,34375
rad,65536,7,4,4,3306459,2718084,523375,65000
std,65536,7,4,4,4280833,3646375,588750,45708
rad,65536,8,4,4,4116292,3382458,668542,65292
std,65536,8,4,4,4476750,3711042,717083,48625
rad,65536,8,4,4,4017208,3414333,547250,55625
std,65536,8,4,4,4617458,3836750,714917,65791
rad,65536,8,4,4,4164417,3443375,624375,96667
std,65536,8,4,4,4651083,3882375,697167,71541
rad,262144,1,4,4,5177083,3734250,1245542,197291
std,262144,1,4,4,17099542,15785000,1185042,129500
rad,262144,1,4,4,5219583,3844209,1196833,178541
std,262144,1,4,4,17101500,15675791,1205959,219750
rad,262144,1,4,4,4986584,3642875,1201375,142334
std,262144,1,4,4,16713375,15405416,1182542,125417
rad,262144,2,4,4,12491959,10971833,1393917,126209
std,262144,2,4,4,17839458,16128500,1461125,249833
rad,262144,2,4,4,12539792,10913334,1398875,227583
std,262144,2,4,4,17630208,16202208,1327458,100542
rad,262144,2,4,4,12662625,11059667,1400458,202500
std,262144,2,4,4,17249791,15792833,1358500,98458
rad,262144,3,4,4,11937375,10023667,1716375,197333
std,262144,3,4,4,17212583,15474125,1622708,115750
rad,262144,3,4,4,11638833,9740625,1698208,200000
std,262144,3,4,4,17230958,15622125,1496833,112000
rad,262144,3,4,4,12328875,10401000,1748333,179542
std,262144,3,4,4,18347458,16381416,1760167,205875
rad,262144,4,4,4,14480000,12421042,1854541,204417
std,262144,4,4,4,17702375,15915375,1664292,122708
rad,262144,4,4,4,14462083,12345333,1910458,206292
std,262144,4,4,4,18377708,16326958,1734375,316375
rad,262144,4,4,4,14374583,12384083,1782417,208083
std,262144,4,4,4,17966667,15989583,1858292,118792
rad,262144,5,4,4,12989667,10779791,1960584,249292
std,262144,5,4,4,18446833,16310334,1926166,210333
rad,262144,5,4,4,13219417,10979666,1954792,284959
std,262144,5,4,4,18188542,16047750,1991958,148834
rad,262144,5,4,4,12769459,10623167,1860625,285667
std,262144,5,4,4,18320709,15853916,2259334,207459
rad,262144,6,4,4,15971416,13214167,2453958,303291
std,262144,6,4,4,18551541,16024750,2349458,177333
rad,262144,6,4,4,15266958,12726875,2257792,282291
std,262144,6,4,4,18431667,16188667,2065750,177250
rad,262144,6,4,4,16194000,13342916,2537792,313292
std,262144,6,4,4,18237000,15923791,2152917,160292
rad,262144,7,4,4,13813250,10962083,2461750,389417
std,262144,7,4,4,19092292,16561709,2325625,204958
rad,262144,7,4,4,14176375,11030000,2775834,370541
std,262144,7,4,4,19105458,16482875,2267917,354666
rad,262144,7,4,4,14121792,11195166,2555334,371292
std,262144,7,4,4,18718250,16216292,2298958,203000
rad,262144,8,4,4,17038000,13632333,3003083,402584
std,262144,8,4,4,19549917,16644667,2686625,218625
rad,262144,8,4,4,15998042,12867125,2838500,292417
std,262144,8,4,4,20810625,17331375,3173459,305791
rad,262144,8,4,4,16326292,13063209,2959208,303875
std,262144,8,4,4,19822000,16710333,2877417,234250
rad,1048576,1,4,4,20247167,14336458,5168417,742292
std,1048576,1,4,4,74160541,68509833,5023208,627500
rad,1048576,1,4,4,19807459,14048750,5034042,724667
std,1048576,1,4,4,73137500,67480958,5034083,622459
rad,1048576,1,4,4,20086541,14258375,5051708,776458
std,1048576,1,4,4,73290500,67730958,4834000,725542
rad,1048576,2,4,4,51309459,44391708,6106917,810834
std,1048576,2,4,4,78407833,71520750,6119167,767916
rad,1048576,2,4,4,48925542,42274750,5835792,815000
std,1048576,2,4,4,78314041,71594208,5962250,757583
rad,1048576,2,4,4,49451583,42655792,5978708,817083
std,1048576,2,4,4,78448208,71606958,6060292,780958
rad,1048576,3,4,4,47025208,39049541,6915667,1060000
std,1048576,3,4,4,77953833,69999291,7080042,874500
rad,1048576,3,4,4,46345458,38206500,7115125,1023833
std,1048576,3,4,4,77490542,69539208,7061750,889584
rad,1048576,3,4,4,46291542,38272208,7015042,1004292
std,1048576,3,4,4,77349125,69523417,6957166,868542
rad,1048576,4,4,4,58277209,49157792,7896917,1222500
std,1048576,4,4,4,80187708,71533291,7637792,1016625
rad,1048576,4,4,4,56580792,47819958,7642167,1118667
std,1048576,4,4,4,79929917,71226958,7635500,1067459
rad,1048576,4,4,4,56369375,47822750,7469459,1077166
std,1048576,4,4,4,79815458,71247166,7577250,991042
rad,1048576,5,4,4,51909917,41850209,8768333,1291375
std,1048576,5,4,4,81474625,71927167,8448625,1098833
rad,1048576,5,4,4,50172584,40616375,8322792,1233417
std,1048576,5,4,4,82093625,72651708,8344375,1097542
rad,1048576,5,4,4,50133750,40574334,8335083,1224333
std,1048576,5,4,4,81955334,72282291,8528209,1144834
rad,1048576,6,4,4,63013625,52084625,9509500,1419500
std,1048576,6,4,4,82619208,72058917,9315541,1244750
rad,1048576,6,4,4,61326791,50622792,9356791,1347208
std,1048576,6,4,4,82044625,71499209,9318666,1226750
rad,1048576,6,4,4,61449834,50662459,9413625,1373750
std,1048576,6,4,4,81539459,71034125,9270875,1234459
rad,1048576,7,4,4,57264667,45302666,10377334,1584667
std,1048576,7,4,4,85085292,73441167,10248250,1395875
rad,1048576,7,4,4,55472291,43652250,10314791,1505250
std,1048576,7,4,4,84488792,72800167,10247875,1440750
rad,1048576,7,4,4,55940792,44177417,10311958,1451417
std,1048576,7,4,4,83146417,71390459,10349708,1406250
rad,1048576,8,4,4,70739334,57812125,11171375,1755834
std,1048576,8,4,4,86159083,73507291,11081000,1570792
rad,1048576,8,4,4,66360708,53484750,11257125,1618833
std,1048576,8,4,4,86117916,73457667,11082083,1578166
rad,1048576,8,4,4,66933750,53510208,11800209,1623333
std,1048576,8,4,4,86941709,74209583,11141334,1590792
rad,4194304,1,4,4,77846625,55076417,20010541,2759667
std,4194304,1,4,4,321174875,298138292,20039000,2997583
rad,4194304,1,4,4,78182959,55188625,20140167,2854167
std,4194304,1,4,4,320157250,297047125,20153375,2956750
rad,4194304,1,4,4,78516208,55490334,20120083,2905791
std,4194304,1,4,4,323959834,300785833,20139167,3034834
rad,4194304,2,4,4,204661084,177035500,24257834,3367750
std,4194304,2,4,4,337551167,311186000,23123000,3242167
rad,4194304,2,4,4,193483125,167216750,23028459,3237916
std,4194304,2,4,4,337616834,311303292,23147542,3166000
rad,4194304,2,4,4,193844542,167529875,23184792,3129875
std,4194304,2,4,4,335851500,309463750,23185292,3202458
rad,4194304,3,4,4,192903500,161975834,27242583,3685083
std,4194304,3,4,4,336949292,306572750,26468209,3908333
rad,4194304,3,4,4,180269417,150353125,26350459,3565833
std,4194304,3,4,4,336416917,306390583,26376875,3649459
rad,4194304,3,4,4,180472167,150247958,26627917,3596292
std,4194304,3,4,4,339109000,308649833,26824583,3634584
rad,4194304,4,4,4,236148416,201558334,30496666,4093416
std,4194304,4,4,4,348581417,314827750,29540792,4212875
rad,4194304,4,4,4,222822916,189462041,29465750,3895125
std,4194304,4,4,4,350268334,316720833,29342709,4204792
rad,4194304,4,4,4,222951625,189646209,29193666,4111750
std,4194304,4,4,4,350784375,316962000,29283500,4538875
rad,4194304,5,4,4,219328458,180370459,34469833,4488166
std,4194304,5,4,4,352782708,314699833,33440375,4642500
rad,4194304,5,4,4,198951333,161571917,32841083,4538333
std,4194304,5,4,4,350327291,312550959,32792041,4984291
rad,4194304,5,4,4,198791750,161707625,32789583,4294542
std,4194304,5,4,4,355778833,318727792,32900500,4150541
rad,4194304,6,4,4,270701584,223634084,42009625,5057875
std,4194304,6,4,4,359927167,318132667,36394625,5399875
rad,4194304,6,4,4,243665958,201926500,36370083,5369375
std,4194304,6,4,4,357170625,315704333,36242542,5223750
rad,4194304,6,4,4,242869583,201670834,36188541,5010208
std,4194304,6,4,4,358302125,316802958,36223667,5275500
rad,4194304,7,4,4,253709709,199600792,48484875,5624042
std,4194304,7,4,4,362816833,316877791,40127917,5811125
rad,4194304,7,4,4,220049208,174360917,40374416,5313875
std,4194304,7,4,4,368756916,321342833,41700625,5713458
rad,4194304,7,4,4,219306584,174030916,40019834,5255834
std,4194304,7,4,4,365570959,319746042,39975625,5849292
rad,4194304,8,4,4,291856916,238326500,47072166,6458250
std,4194304,8,4,4,382091375,329665583,44807542,7618250
rad,4194304,8,4,4,274481875,220618625,44789334,9073916
std,4194304,8,4,4,382963250,331150333,45179542,6633375
rad,4194304,8,4,4,274496291,221440125,46124375,6931791
std,4194304,8,4,4,382856208,332081709,44728666,6045833
rad,16777216,1,4,4,311079958,218922458,81013292,11144208
std,16777216,1,4,4,1397036625,1304343834,81430916,11261875
rad,16777216,1,4,4,310650916,219003208,80593208,11054500
std,16777216,1,4,4,1392474958,1299864792,81203458,11406708
rad,16777216,1,4,4,313620000,221881791,80659792,11078417
