category,count,columns,time,L2_TLB_MISS_DATA,L1D_CACHE_MISS_LD,L1D_CACHE_MISS_ST,L1D_TLB_MISS,BRANCH_COND_MISPRED_NONSPEC
row,4194304,3,436563916,10,850,30,25,0
row,4194304,3,436661125,12,808,35,32,0
row,4194304,3,436761083,9,851,29,23,0
row,4194304,3,436861083,9,854,32,24,0
row,4194304,3,436961083,13,838,37,30,0
row,4194304,3,437061125,9,861,28,22,0
row,4194304,3,437161125,11,839,32,30,0
row,4194304,3,437261125,9,863,29,21,0
row,4194304,3,437361083,10,848,28,28,0
row,4194304,3,437461125,13,838,35,29,0
row,4194304,3,437561083,10,854,30,25,0
row,4194304,3,437661125,13,844,35,29,0
row,4194304,3,437761125,9,860,28,22,0
row,4194304,3,437861125,9,854,32,22,0
row,4194304,3,437961083,13,844,35,34,0
row,4194304,3,438061083,9,861,26,24,0
row,4194304,3,438161083,12,842,37,30,0
row,4194304,3,438261083,9,860,30,25,0
row,4194304,3,438361083,9,857,33,24,0
row,4194304,3,438461125,12,845,30,28,0
row,4194304,3,438563958,9,861,27,22,0
row,4194304,3,438661125,13,818,37,31,0
row,4194304,3,438761125,10,860,28,29,0
row,4194304,3,438861125,9,856,28,28,0
row,4194304,3,438961125,12,845,33,34,0
row,4194304,3,439061125,8,865,24,22,0
row,4194304,3,439161083,12,847,40,34,0
row,4194304,3,439264000,10,855,29,27,0
row,4194304,3,439361333,9,829,31,27,0
row,4194304,3,439464000,14,845,35,37,0
row,4194304,3,439561083,10,823,29,26,0
row,4194304,3,439761083,15,841,35,35,0
row,4194304,3,439861125,9,861,27,25,0
row,4194304,3,439961125,12,843,38,30,0
row,4194304,3,440061083,9,864,28,22,0
row,4194304,3,440161083,12,847,30,31,0
row,4194304,3,440261083,12,862,32,45,0
row,4194304,3,440361125,9,863,27,25,0
row,4194304,3,440461125,15,830,37,39,0
row,4194304,3,440562750,9,864,29,20,0
row,4194304,3,440661041,12,834,30,28,0
row,4194304,3,440761083,10,869,37,44,0
row,4194304,3,440861125,9,778,21,22,0
row,4194304,3,440961166,12,861,28,31,0
row,4194304,3,441061125,10,853,33,45,0
row,4194304,3,441161125,9,856,29,25,0
row,4194304,3,441261083,12,847,35,30,0
row,4194304,3,441361083,9,864,28,25,0
row,4194304,3,441461083,12,846,37,36,0
row,4194304,3,441561083,10,865,28,27,0
row,4194304,3,441661083,9,856,28,24,0
row,4194304,3,441761083,12,847,34,36,0
row,4194304,3,441861083,9,861,29,21,0
row,4194304,3,441961125,13,847,39,32,0
row,4194304,3,442061083,9,862,29,23,0
row,4194304,3,442161083,13,853,31,35,0
row,4194304,3,442261125,10,857,36,43,0
row,4194304,3,442361083,9,867,28,22,0
row,4194304,3,442461416,14,847,38,34,0
row,4194304,3,442661125,9,806,30,22,0
row,4194304,3,442761125,13,845,32,33,0
row,4194304,3,442861083,8,801,19,21,0
row,4194304,3,442961125,10,841,29,26,0
row,4194304,3,443061083,12,819,33,30,0
row,4194304,3,443161125,10,847,28,25,0
row,4194304,3,443261125,9,849,31,21,0
row,4194304,3,443361125,12,836,35,31,0
row,4194304,3,443461083,11,857,28,26,0
row,4194304,3,443561166,9,807,33,23,0
row,4194304,3,443661125,12,839,34,31,0
row,4194304,3,443761125,9,853,30,26,0
row,4194304,3,443861083,12,835,36,31,0
row,4194304,3,443961083,9,863,28,26,0
row,4194304,3,444061125,9,859,30,23,0
row,4194304,3,444161125,12,841,36,31,0
row,4194304,3,444261083,9,859,30,27,0
row,4194304,3,444361083,13,842,40,35,0
row,4194304,3,444461333,9,843,37,23,0
row,4194304,3,444563958,10,851,30,26,0
row,4194304,3,444661083,14,809,38,35,0
row,4194304,3,444761083,8,864,25,20,0
row,4194304,3,444861083,10,858,33,24,0
row,4194304,3,444961083,13,840,35,31,0
row,4194304,3,445061083,9,860,26,22,0
row,4194304,3,445161125,12,847,36,29,0
row,4194304,3,445261083,10,862,31,24,0
row,4194304,3,445361291,9,791,33,25,0
row,4194304,3,445461250,12,845,40,33,0
row,4194304,3,445564041,10,858,30,22,0
row,4194304,3,445661083,9,835,30,24,0
row,4194304,3,445761125,12,851,32,34,0
row,4194304,3,445861083,9,860,29,24,0
row,4194304,3,445961125,12,837,39,33,0
row,4194304,3,446061083,9,859,28,27,0
row,4194304,3,446161083,10,854,32,24,0
row,4194304,3,446261083,12,842,34,33,0
row,4194304,3,446361083,9,864,26,27,0
row,4194304,3,446461375,12,843,38,31,0
row,4194304,3,446563708,11,858,29,28,0
row,4194304,3,446661083,8,835,27,24,0
row,4194304,3,446761083,12,839,36,30,0
row,4194304,3,446861125,9,858,29,29,0
row,4194304,3,446961083,12,838,37,29,0
row,4194304,3,447061083,9,863,26,24,0
row,4194304,3,447161083,9,860,29,23,0
row,4194304,3,447261166,12,849,34,33,0
row,4194304,3,447361125,9,860,27,27,0
row,4194304,3,447461125,13,842,39,32,0
row,4194304,3,447561125,9,862,29,21,0
row,4194304,3,447661125,12,856,31,27,0
row,4194304,3,447761125,11,846,33,33,0
row,4194304,3,447861083,9,860,27,21,0
row,4194304,3,447961083,13,844,35,32,0
row,4194304,3,448061125,10,860,24,22,0
row,4194304,3,448161125,12,843,29,30,0
row,4194304,3,448261125,10,766,33,25,0
row,4194304,3,448361083,9,854,26,27,0
row,4194304,3,448463875,9,861,33,22,0
row,4194304,3,448561083,11,839,36,33,0
row,4194304,3,448661125,10,880,28,27,0
row,4194304,3,448761083,13,867,37,33,0
row,4194304,3,448861125,9,891,31,26,0
row,4194304,3,448961333,8,770,32,22,0
row,4194304,3,449061333,13,873,39,32,0
row,4194304,3,449161083,9,886,34,23,0
row,4194304,3,449261125,12,856,35,29,0
row,4194304,3,449361083,10,897,28,25,0
row,4194304,3,449461125,12,870,42,28,0
row,4194304,3,449561125,9,893,32,23,0
row,4194304,3,449661125,13,880,35,32,0
row,4194304,3,449761125,10,886,29,21,0
row,4194304,3,449861083,12,869,34,30,0
row,4194304,3,449961125,10,879,32,26,0
row,4194304,3,450061125,11,877,37,29,0
row,4194304,3,450161041,12,874,33,33,0
row,4194304,3,450261083,12,892,30,29,0
row,4194304,3,450361333,12,869,38,32,0
row,4194304,3,450463875,9,887,27,26,0
row,4194304,3,450561041,9,848,33,24,0
row,4194304,3,450661083,12,847,37,28,0
row,4194304,3,450761041,9,889,32,27,0
row,4194304,3,450861125,12,876,34,32,0
row,4194304,3,450961083,9,887,32,25,0
row,4194304,3,451061125,12,874,37,29,0
row,4194304,3,451161083,10,888,31,23,0
row,4194304,3,451261125,11,879,35,29,0
row,4194304,3,451361083,13,875,36,30,0
row,4194304,3,451461083,10,897,30,24,0
row,4194304,3,451561125,12,877,38,31,0
row,4194304,3,451661125,9,891,30,28,0
row,4194304,3,451761083,12,881,39,34,0
row,4194304,3,451861083,10,892,31,23,0
row,4194304,3,451961083,12,878,38,30,0
row,4194304,3,452061083,9,895,28,22,0
row,4194304,3,452161125,14,875,38,38,0
row,4194304,3,452261083,10,889,31,25,0
row,4194304,3,452361125,15,866,41,32,0
row,4194304,3,452464000,9,893,30,26,0
row,4194304,3,452561041,14,841,39,34,0
row,4194304,3,452661083,9,896,28,22,0
row,4194304,3,452761083,12,874,43,34,0
row,4194304,3,452861083,10,894,32,23,0
row,4194304,3,452961291,13,881,34,31,0
row,4194304,3,453063958,9,892,31,25,0
row,4194304,3,453161041,12,852,35,30,0
row,4194304,3,453261083,9,898,31,27,0
row,4194304,3,453361041,13,877,36,31,0
row,4194304,3,453461083,12,881,33,30,0
row,4194304,3,453561333,13,880,39,48,0
row,4194304,3,453661333,12,874,37,33,0
row,4194304,3,453763791,10,891,28,26,0
row,4194304,3,453861125,12,859,32,33,0
row,4194304,3,453961333,9,785,36,45,0
row,4194304,3,454161208,14,863,40,31,0
row,4194304,3,454261250,9,888,29,24,0
row,4194304,3,454361291,12,871,39,30,0
row,4194304,3,454463833,9,894,31,23,0
