sim,category,count,columns,L2_TLB_MISS_DATA,L1D_CACHE_MISS_LD,L1D_CACHE_MISS_ST,L1D_TLB_MISS
reorder,col,13,2,723,30216,56548,4053
reorder,col,13,4,880,36213,107065,4877
reorder,col,13,4,709,35399,109487,5005
reorder,col,13,4,777,31239,104037,4478
reorder,col,13,4,725,35382,105815,4945
reorder,col,13,4,839,36964,93809,4818
reorder,col,13,8,836,45835,210391,4749
reorder,col,13,8,730,43594,209146,4949
reorder,col,13,8,830,45926,184273,5928
reorder,col,13,8,721,43217,210312,5181
reorder,col,13,8,776,42218,208641,4748
reorder,col,13,16,993,71304,411345,7047
reorder,col,13,16,899,66331,405545,5996
reorder,col,13,16,793,66000,391271,5828
reorder,col,13,16,967,62054,408362,6188
reorder,col,13,16,996,68831,421682,7017
reorder,col,13,32,1077,110201,808470,8221
reorder,col,13,32,1155,113354,769307,8393
reorder,col,13,32,1231,113210,806826,8797
reorder,col,13,32,1037,107669,810752,8117
reorder,col,13,32,1100,111120,799545,8107
reorder,col,13,64,1435,202872,1684762,12986
reorder,col,13,64,1526,203452,1469572,12408
reorder,col,13,64,1477,200842,1637693,12961
reorder,col,13,64,1545,201390,1572435,12438
reorder,col,13,64,1537,203477,1591126,12887
reorder,col,13,96,1867,286463,2406577,17345
reorder,col,13,96,1966,282042,2318274,16799
reorder,col,13,96,1946,281851,2400938,18056
reorder,col,13,96,1893,290785,2309506,17513
reorder,col,13,96,1882,282693,2387623,16564
reorder,col,14,1,892,28443,64257,4701
reorder,col,14,1,791,30840,66458,4731
reorder,col,14,1,819,34115,67866,4889
reorder,col,14,1,792,32775,64006,4621
reorder,col,14,1,729,28645,64972,4450
reorder,col,14,2,902,37498,121063,5093
reorder,col,14,2,905,38581,100153,5004
reorder,col,14,2,826,42257,120217,5520
reorder,col,14,2,854,42507,118480,5648
reorder,col,14,2,842,43482,120888,7200
reorder,col,14,4,832,52989,230501,5522
reorder,col,14,4,850,53492,232082,5761
reorder,col,14,4,1088,54702,197660,5906
reorder,col,14,4,899,53197,224356,5975
reorder,col,14,4,839,53989,228118,5900
reorder,col,14,8,928,81580,441345,7207
reorder,col,14,8,942,82205,417388,7031
reorder,col,14,8,1056,81658,410460,7107
reorder,col,14,8,1062,83085,392062,6971
reorder,col,14,8,1052,84628,446026,7507
reorder,col,14,16,1133,137923,875597,10309
reorder,col,14,16,1094,140713,887511,9895
reorder,col,14,16,1147,139488,882414,10264
reorder,col,14,16,1178,142380,882068,10198
reorder,col,14,16,1228,143977,871614,10486
reorder,col,14,32,1683,254576,1684586,15727
reorder,col,14,32,1697,254372,1734101,16208
reorder,col,14,32,1548,256270,1739186,16793
reorder,col,14,32,1564,251322,1745582,16013
reorder,col,14,32,1549,257386,1749438,16581
reorder,col,14,64,2591,493951,3474461,27805
reorder,col,14,64,2582,503300,3441236,27744
reorder,col,14,64,2470,497100,3445221,27054
reorder,col,14,64,2405,492902,3439763,27572
reorder,col,14,64,2594,501115,3429974,27776
reorder,col,14,96,3330,729622,5168820,39703
reorder,col,14,96,3252,719397,5129854,38494
reorder,col,14,96,3447,719701,5125945,39479
reorder,col,14,96,3324,713823,5125222,39427
reorder,col,14,96,3328,728835,4947300,38284
reorder,col,15,1,994,79261,136417,5802
reorder,col,15,1,921,77633,136235,5662
reorder,col,15,1,926,81550,136781,6292
reorder,col,15,1,1050,80846,134267,6302
reorder,col,15,1,940,80208,137696,5933
reorder,col,15,2,953,125113,239859,6564
reorder,col,15,2,970,118570,249831,6270
reorder,col,15,2,1032,123237,248559,6940
reorder,col,15,2,914,121142,246009,5851
reorder,col,15,2,967,121779,246045,6300
reorder,col,15,4,1101,212836,439188,7526
reorder,col,15,4,1105,210626,415616,7774
reorder,col,15,4,1146,213824,414200,8126
reorder,col,15,4,1040,208099,428263,7401
reorder,col,15,4,1085,207407,462428,7725
reorder,col,15,8,1289,379941,901574,10941
reorder,col,15,8,1342,380570,867772,11225
reorder,col,15,8,1318,376089,901955,10184
reorder,col,15,8,1416,380878,893278,10801
reorder,col,15,8,1108,380159,895625,9523
reorder,col,15,16,1646,723721,1775700,16604
reorder,col,15,16,1791,728349,1765052,16043
reorder,col,15,16,1766,728817,1757911,16388
reorder,col,15,16,1672,729282,1772182,16523
reorder,col,15,16,1641,725371,1722193,15677
reorder,col,15,32,2517,1456032,3486095,27934
reorder,col,15,32,2500,1446067,3460362,26182
reorder,col,15,32,2650,1470227,3436123,27228
reorder,col,15,32,2479,1455911,3459480,27731
reorder,col,15,32,2492,1448619,3463872,26930
reorder,col,15,64,4273,2849461,6916850,49668
reorder,col,15,64,4207,2874637,6865952,49667
reorder,col,15,64,4209,2863811,6894435,49734
reorder,col,15,64,4147,2875930,6873515,49175
reorder,col,15,64,4111,2860779,6747166,48130
reorder,col,15,96,6051,4292256,10327391,71997
reorder,col,15,96,5806,4271787,10281384,73076
reorder,col,15,96,5880,4285836,10343843,72254
reorder,col,15,96,5780,4287955,10096135,70829
reorder,col,15,96,5841,4257248,10306529,71611
reorder,col,16,1,954,232637,287450,6997
reorder,col,16,1,1032,237159,283347,7321
reorder,col,16,1,1018,233669,288665,7383
reorder,col,16,1,1160,236059,285851,7680
reorder,col,16,1,1069,232679,294591,7530
reorder,col,16,2,1211,412725,501163,8803
reorder,col,16,2,1240,411245,504906,9387
reorder,col,16,2,1326,410766,500983,8809
reorder,col,16,2,1226,408729,498043,8926
reorder,col,16,2,1154,410233,507328,8578
reorder,col,16,4,1449,758962,938559,11210
reorder,col,16,4,1465,753259,943957,11512
reorder,col,16,4,1465,753503,920197,10390
reorder,col,16,4,1390,756563,942866,11241
reorder,col,16,4,1370,751889,936872,11589
reorder,col,16,8,1762,1453827,1742865,16032
reorder,col,16,8,1670,1453325,1780707,16764
reorder,col,16,8,1803,1457694,1705500,16366
reorder,col,16,8,1882,1453625,1813650,17316
reorder,col,16,8,1809,1456065,1779417,16621
reorder,col,16,16,2655,2871436,3523760,28953
reorder,col,16,16,2605,2885691,3407883,27938
reorder,col,16,16,2603,2870443,3497231,28051
reorder,col,16,16,2578,2877813,3452300,27399
reorder,col,16,16,2514,2871159,3502393,28033
reorder,col,16,32,4129,5682527,6908404,49741
reorder,col,16,32,4351,5678436,6846791,51251
reorder,col,16,32,4337,5684291,6797522,49754
reorder,col,16,32,4230,5685194,6834500,50457
reorder,col,16,32,4399,5690771,6908961,51609
reorder,col,16,64,7155,11285767,13872509,92931
reorder,col,16,64,7429,11265957,13836205,97580
reorder,col,16,64,7416,11294102,13794884,93493
reorder,col,16,64,7448,11294858,13853659,94028
reorder,col,16,64,7651,11294808,13890610,94313
reorder,col,16,96,10725,16886371,20842498,143428
reorder,col,16,96,10684,16823593,21240376,139117
reorder,col,16,96,10430,16917244,20814448,138658
reorder,col,16,96,10445,16915793,20794536,139026
reorder,col,16,96,10627,16879835,20904757,138900
reorder,col,17,1,1569,568505,595776,11076
reorder,col,17,1,1450,564427,596393,11437
reorder,col,17,1,1431,564504,596289,10633
reorder,col,17,1,1428,567769,594833,11891
reorder,col,17,1,1524,565871,599961,11980
reorder,col,17,2,1984,1010261,1034718,13849
reorder,col,17,2,1600,1012035,1032760,13322
reorder,col,17,2,1523,1007580,1030459,12880
reorder,col,17,2,1667,1009540,1030117,13585
reorder,col,17,2,1540,1006839,1021609,13794
reorder,col,17,4,2177,1893712,1902649,19424
reorder,col,17,4,2086,1899555,1837940,18939
reorder,col,17,4,2204,1893218,1891837,18213
reorder,col,17,4,1988,1897126,1908159,17530
reorder,col,17,4,2289,1892589,1828084,18862
reorder,col,17,8,2652,3690641,3581486,30182
reorder,col,17,8,2735,3690166,3590284,29164
reorder,col,17,8,2771,3689096,3583423,28182
reorder,col,17,8,2757,3683043,3592869,27704
reorder,col,17,8,2794,3690793,3536592,26794
reorder,col,17,16,4507,7236513,7030022,49845
reorder,col,17,16,4122,7255072,6745393,47661
reorder,col,17,16,4307,7247352,6946969,47209
reorder,col,17,16,4185,7247829,6783263,47751
reorder,col,17,16,4230,7246619,7062399,47075
reorder,col,17,32,6998,14375043,13979650,86705
reorder,col,17,32,7551,14346563,14010237,93525
reorder,col,17,32,7457,14340487,13984173,94277
reorder,col,17,32,7193,14371781,13932536,85194
reorder,col,17,32,7194,14365557,13897734,85116
reorder,col,17,64,12849,28567015,28022042,163812
reorder,col,17,64,13004,28567524,27781534,166605
reorder,col,17,64,12950,28579731,27934235,167380
reorder,col,17,64,12847,28563420,28063121,164610
reorder,col,17,64,12692,28585369,28034868,173674
reorder,col,17,96,18747,42805357,42054437,238089
reorder,col,17,96,19230,42775536,42022459,244517
reorder,col,17,96,19028,42784798,42014458,256957
reorder,col,17,96,18951,42813514,41847386,247890
reorder,col,17,96,18615,42769207,42024188,249148
reorder,col,18,1,2274,1249968,1197220,22362
reorder,col,18,1,2097,1246101,1197747,21000
reorder,col,18,1,3074,1249638,1204197,22305
reorder,col,18,1,2275,1244132,1211708,20693
reorder,col,18,1,2179,1246276,1197973,21369
reorder,col,18,2,2473,2233005,2054494,26972
