category,count,columns,time,L2_TLB_MISS_DATA,L1D_CACHE_MISS_LD,L1D_CACHE_MISS_ST,L1D_TLB_MISS,BRANCH_COND_MISPRED_NONSPEC
row,4194304,64,439675291,3,158,168,7,0
row,4194304,64,439775291,2,158,198,7,0
row,4194304,64,439875375,2,147,223,7,0
row,4194304,64,439975333,2,150,165,18,0
row,4194304,64,440075291,3,153,193,8,0
row,4194304,64,440175291,3,149,182,9,0
row,4194304,64,440278125,3,164,176,10,0
row,4194304,64,440375333,2,117,183,7,0
row,4194304,64,440475333,2,150,197,8,0
row,4194304,64,440575333,3,155,178,8,0
row,4194304,64,440675291,0,158,188,0,0
row,4194304,64,440775291,2,152,186,6,0
row,4194304,64,440875291,2,154,185,6,0
row,4194304,64,440975291,2,154,191,7,0
row,4194304,64,441075291,3,159,186,8,0
row,4194304,64,441175291,2,130,211,6,0
row,4194304,64,441275291,2,161,185,7,0
row,4194304,64,441375291,2,154,186,7,0
row,4194304,64,441475291,0,166,203,0,0
row,4194304,64,441575291,2,156,194,8,0
row,4194304,64,441675291,2,156,179,6,0
row,4194304,64,441775291,2,155,191,7,0
row,4194304,64,441875333,3,151,172,8,0
row,4194304,64,441975291,2,128,183,7,0
row,4194304,64,442075291,2,158,185,7,0
row,4194304,64,442175291,2,152,190,7,0
row,4194304,64,442278041,0,158,204,0,0
row,4194304,64,442375291,3,152,193,9,0
row,4194304,64,442475291,2,149,199,7,0
row,4194304,64,442575291,2,159,173,6,0
row,4194304,64,442675291,3,154,205,10,0
row,4194304,64,442775291,2,158,190,7,0
row,4194304,64,442875291,2,161,175,7,0
row,4194304,64,442975291,0,151,230,0,0
row,4194304,64,443075291,2,143,183,7,0
row,4194304,64,443175291,3,170,189,7,0
row,4194304,64,443275333,2,153,185,7,0
row,4194304,64,443375291,2,156,194,7,0
row,4194304,64,443475333,2,152,161,6,0
row,4194304,64,443575333,2,148,185,7,0
row,4194304,64,443675333,3,135,192,8,0
row,4194304,64,443775291,0,158,160,0,0
row,4194304,64,443875291,2,163,199,7,0
row,4194304,64,443975333,2,156,193,7,0
