category|count|columns|cmd|pid|time|counter|event
row|16777216|32|simulation|6989|11691732.226648019:|79921|cache-misses:
row|16777216|32|simulation|6989|11691732.227441970:|322|branch-misses:
row|16777216|32|simulation|6989|11691732.230587675:|80422|cache-misses:
row|16777216|32|simulation|6989|11691732.231199615:|320|branch-misses:
row|16777216|32|simulation|6989|11691732.234549830:|80755|cache-misses:
row|16777216|32|simulation|6989|11691732.234993038:|340|branch-misses:
row|16777216|32|simulation|6989|11691732.238511138:|81072|cache-misses:
row|16777216|32|simulation|6989|11691732.239440759:|328|branch-misses:
row|16777216|32|simulation|6989|11691732.242468833:|81431|cache-misses:
row|16777216|32|simulation|6989|11691732.243363282:|327|branch-misses:
row|16777216|32|simulation|6989|11691732.246425252:|81671|cache-misses:
row|16777216|32|simulation|6989|11691732.247265549:|336|branch-misses:
row|16777216|32|simulation|6989|11691732.250397562:|81676|cache-misses:
row|16777216|32|simulation|6989|11691732.250935878:|341|branch-misses:
row|16777216|32|simulation|6989|11691732.254309341:|82423|cache-misses:
row|16777216|32|simulation|6989|11691732.254441567:|337|branch-misses:
row|16777216|32|simulation|6989|11691732.258252157:|83077|cache-misses:
row|16777216|32|simulation|6989|11691732.258409438:|365|branch-misses:
row|16777216|32|simulation|6989|11691732.262238404:|83176|cache-misses:
row|16777216|32|simulation|6989|11691732.262516075:|356|branch-misses:
row|16777216|32|simulation|6989|11691732.266214029:|83341|cache-misses:
row|16777216|32|simulation|6989|11691732.266801524:|352|branch-misses:
row|16777216|32|simulation|6989|11691732.270207647:|83363|cache-misses:
row|16777216|32|simulation|6989|11691732.270841934:|351|branch-misses:
row|16777216|32|simulation|6989|11691732.274173860:|83738|cache-misses:
row|16777216|32|simulation|6989|11691732.274873832:|356|branch-misses:
row|16777216|32|simulation|6989|11691732.278166699:|83743|cache-misses:
row|16777216|32|simulation|6989|11691732.278444281:|371|branch-misses:
row|16777216|32|simulation|6989|11691732.282117286:|84217|cache-misses:
row|16777216|32|simulation|6989|11691732.282581750:|367|branch-misses:
row|16777216|32|simulation|6989|11691732.286074511:|84564|cache-misses:
row|16777216|32|simulation|6989|11691732.286626415:|372|branch-misses:
row|16777216|32|simulation|6989|11691732.290038834:|84901|cache-misses:
row|16777216|32|simulation|6989|11691732.290444716:|378|branch-misses:
row|16777216|32|simulation|6989|11691732.294016673:|85042|cache-misses:
row|16777216|32|simulation|6989|11691732.294444373:|382|branch-misses:
row|16777216|32|simulation|6989|11691732.297986038:|85398|cache-misses:
row|16777216|32|simulation|6989|11691732.298671428:|371|branch-misses:
row|16777216|32|simulation|6989|11691732.301967148:|85432|cache-misses:
row|16777216|32|simulation|6989|11691732.302387974:|389|branch-misses:
row|16777216|32|simulation|6989|11691732.305944719:|85677|cache-misses:
row|16777216|32|simulation|6989|11691732.306440295:|378|branch-misses:
row|16777216|32|simulation|6989|11691732.309916917:|85893|cache-misses:
row|16777216|32|simulation|6989|11691732.310858303:|374|branch-misses:
row|16777216|32|simulation|6989|11691732.313889849:|86162|cache-misses:
row|16777216|32|simulation|6989|11691732.314598896:|377|branch-misses:
row|16777216|32|simulation|6989|11691732.317843083:|86590|cache-misses:
row|16777216|32|simulation|6989|11691732.318634057:|373|branch-misses:
row|16777216|32|simulation|6989|11691732.321810784:|86849|cache-misses:
row|16777216|32|simulation|6989|11691732.322440680:|390|branch-misses:
row|16777216|32|simulation|6989|11691732.325798005:|86949|cache-misses:
row|16777216|32|simulation|6989|11691732.326444307:|387|branch-misses:
row|16777216|32|simulation|6989|11691732.329770162:|87166|cache-misses:
row|16777216|32|simulation|6989|11691732.330267301:|407|branch-misses:
row|16777216|32|simulation|6989|11691732.333752531:|87389|cache-misses:
row|16777216|32|simulation|6989|11691732.334352200:|408|branch-misses:
row|16777216|32|simulation|6989|11691732.337729475:|87553|cache-misses:
row|16777216|32|simulation|6989|11691732.338303742:|420|branch-misses:
row|16777216|32|simulation|6989|11691732.341696199:|87889|cache-misses:
row|16777216|32|simulation|6989|11691732.341992605:|420|branch-misses:
row|16777216|32|simulation|6989|11691732.345708438:|87779|cache-misses:
row|16777216|32|simulation|6989|11691732.346439929:|416|branch-misses:
row|16777216|32|simulation|6989|11691732.349689371:|88009|cache-misses:
row|16777216|32|simulation|6989|11691732.350395067:|395|branch-misses:
row|16777216|32|simulation|6989|11691732.353662115:|88249|cache-misses:
row|16777216|32|simulation|6989|11691732.354444682:|404|branch-misses:
row|16777216|32|simulation|6989|11691732.357625591:|88621|cache-misses:
row|16777216|32|simulation|6989|11691732.358512964:|399|branch-misses:
row|16777216|32|simulation|6989|11691732.361610221:|88770|cache-misses:
row|16777216|32|simulation|6989|11691732.362011600:|422|branch-misses:
row|16777216|32|simulation|6989|11691732.365608084:|88865|cache-misses:
row|16777216|32|simulation|6989|11691732.366441904:|400|branch-misses:
row|16777216|32|simulation|6989|11691732.369592708:|88993|cache-misses:
row|16777216|32|simulation|6989|11691732.370440658:|418|branch-misses:
row|16777216|32|simulation|6989|11691732.373608338:|88882|cache-misses:
row|16777216|32|simulation|6989|11691732.374137411:|415|branch-misses:
row|16777216|32|simulation|6989|11691732.377547809:|89477|cache-misses:
row|16777216|32|simulation|6989|11691732.378374829:|428|branch-misses:
row|16777216|32|simulation|6989|11691732.381520965:|443|branch-misses:
row|16777216|32|simulation|6989|11691732.381530064:|89628|cache-misses:
row|16777216|32|simulation|6989|11691732.385512258:|89783|cache-misses:
row|16777216|32|simulation|6989|11691732.386397878:|436|branch-misses:
row|16777216|32|simulation|6989|11691732.389495306:|90005|cache-misses:
row|16777216|32|simulation|6989|11691732.390045538:|427|branch-misses:
row|16777216|32|simulation|6989|11691732.393477014:|90185|cache-misses:
row|16777216|32|simulation|6989|11691732.394439997:|440|branch-misses:
row|16777216|32|simulation|6989|11691732.397485126:|90102|cache-misses:
row|16777216|32|simulation|6989|11691732.398098463:|424|branch-misses:
row|16777216|32|simulation|6989|11691732.401470555:|90268|cache-misses:
row|16777216|32|simulation|6989|11691732.401762069:|452|branch-misses:
row|16777216|32|simulation|6989|11691732.405461581:|90359|cache-misses:
row|16777216|32|simulation|6989|11691732.406135491:|436|branch-misses:
row|16777216|32|simulation|6989|11691732.409445160:|90521|cache-misses:
row|16777216|32|simulation|6989|11691732.409693990:|447|branch-misses:
row|16777216|32|simulation|6989|11691732.413418476:|90650|cache-misses:
row|16777216|32|simulation|6989|11691732.414417291:|454|branch-misses:
row|16777216|32|simulation|6989|11691732.417408408:|90799|cache-misses:
row|16777216|32|simulation|6989|11691732.418323120:|431|branch-misses:
row|16777216|32|simulation|6989|11691732.421435221:|90602|cache-misses:
row|16777216|32|simulation|6989|11691732.421840904:|442|branch-misses:
row|16777216|32|simulation|6989|11691732.425431288:|90533|cache-misses:
row|16777216|32|simulation|6989|11691732.425976980:|452|branch-misses:
row|16777216|32|simulation|6989|11691732.429377178:|91083|cache-misses:
row|16777216|32|simulation|6989|11691732.430604687:|424|branch-misses:
row|16777216|32|simulation|6989|11691732.433345323:|91403|cache-misses:
row|16777216|32|simulation|6989|11691732.434266126:|432|branch-misses:
row|16777216|32|simulation|6989|11691732.437327031:|91630|cache-misses:
row|16777216|32|simulation|6989|11691732.437842336:|437|branch-misses:
row|16777216|32|simulation|6989|11691732.441312688:|91694|cache-misses:
row|16777216|32|simulation|6989|11691732.441561326:|463|branch-misses:
row|16777216|32|simulation|6989|11691732.445334814:|91763|cache-misses:
row|16777216|32|simulation|6989|11691732.445485012:|474|branch-misses:
row|16777216|32|simulation|6989|11691732.449351465:|91428|cache-misses:
row|16777216|32|simulation|6989|11691732.449439674:|480|branch-misses:
row|16777216|32|simulation|6989|11691732.453319242:|91645|cache-misses:
row|16777216|32|simulation|6989|11691732.453443649:|488|branch-misses:
row|16777216|32|simulation|6989|11691732.457300248:|91765|cache-misses:
row|16777216|32|simulation|6989|11691732.457816545:|490|branch-misses:
row|16777216|32|simulation|6989|11691732.461251218:|92256|cache-misses:
row|16777216|32|simulation|6989|11691732.462133097:|473|branch-misses:
row|16777216|32|simulation|6989|11691732.465229860:|92492|cache-misses:
row|16777216|32|simulation|6989|11691732.466163361:|455|branch-misses:
row|16777216|32|simulation|6989|11691732.469234544:|92493|cache-misses:
row|16777216|32|simulation|6989|11691732.469988847:|442|branch-misses:
row|16777216|32|simulation|6989|11691732.473266864:|92425|cache-misses:
row|16777216|32|simulation|6989|11691732.473718792:|456|branch-misses:
row|16777216|32|simulation|6989|11691732.477336314:|91740|cache-misses:
row|16777216|32|simulation|6989|11691732.477441358:|485|branch-misses:
row|16777216|32|simulation|6989|11691732.480439941:|547|branch-misses:
row|16777216|32|simulation|6989|11691732.481357045:|91611|cache-misses:
row|16777216|32|simulation|6989|11691732.485333835:|520|branch-misses:
row|16777216|32|simulation|6989|11691732.485377836:|91512|cache-misses:
row|16777216|32|simulation|6989|11691732.489280463:|92128|cache-misses:
row|16777216|32|simulation|6989|11691732.489453277:|473|branch-misses:
row|16777216|32|simulation|6989|11691732.492900566:|513|branch-misses:
row|16777216|32|simulation|6989|11691732.493232406:|92767|cache-misses:
row|16777216|32|simulation|6989|11691732.497219342:|92817|cache-misses:
row|16777216|32|simulation|6989|11691732.497439124:|505|branch-misses:
row|16777216|32|simulation|6989|11691732.501196197:|93012|cache-misses:
row|16777216|32|simulation|6989|11691732.501438971:|507|branch-misses:
row|16777216|32|simulation|6989|11691732.505186525:|93109|cache-misses:
row|16777216|32|simulation|6989|11691732.505432511:|505|branch-misses:
row|16777216|32|simulation|6989|11691732.509163497:|93326|cache-misses:
row|16777216|32|simulation|6989|11691732.509164074:|522|branch-misses:
row|16777216|32|simulation|6989|11691732.512851269:|539|branch-misses:
row|16777216|32|simulation|6989|11691732.513139160:|93622|cache-misses:
row|16777216|32|simulation|6989|11691732.517004212:|541|branch-misses:
row|16777216|32|simulation|6989|11691732.517119995:|93841|cache-misses:
row|16777216|32|simulation|6989|11691732.521120012:|93746|cache-misses:
row|16777216|32|simulation|6989|11691732.521134616:|523|branch-misses:
row|16777216|32|simulation|6989|11691732.525101923:|94004|cache-misses:
row|16777216|32|simulation|6989|11691732.525438926:|497|branch-misses:
row|16777216|32|simulation|6989|11691732.529116341:|93854|cache-misses:
row|16777216|32|simulation|6989|11691732.529430343:|490|branch-misses:
row|16777216|32|simulation|6989|11691732.533121785:|93857|cache-misses:
row|16777216|32|simulation|6989|11691732.533542475:|482|branch-misses:
row|16777216|32|simulation|6989|11691732.536443631:|542|branch-misses:
row|16777216|32|simulation|6989|11691732.537132430:|93759|cache-misses:
row|16777216|32|simulation|6989|11691732.540439951:|540|branch-misses:
row|16777216|32|simulation|6989|11691732.541120299:|93833|cache-misses:
row|16777216|32|simulation|6989|11691732.543243912:|515|branch-misses:
row|16777216|32|simulation|6989|11691734.543453642:|515|branch-misses:
row|16777216|32|simulation|6989|11691734.543536936:|887|branch-misses:
row|16777216|32|simulation|6989|11691734.545324511:|5811|branch-misses:
row|16777216|32|simulation|6989|11691734.557312959:|2923|branch-misses:
row|16777216|32|simulation|6989|11691734.558146406:|24904|cache-misses:
row|16777216|32|simulation|6989|11691734.562266489:|2645|branch-misses:
row|16777216|32|simulation|6989|11691734.564535472:|19241|cache-misses:
row|16777216|32|simulation|6989|11691734.566658761:|2530|branch-misses:
row|16777216|32|simulation|6989|11691734.569382888:|17802|cache-misses:
row|16777216|32|simulation|6989|11691734.570501578:|2577|branch-misses:
row|16777216|32|simulation|6989|11691734.573829271:|17018|cache-misses:
row|16777216|32|simulation|6989|11691734.574554360:|2553|branch-misses:
row|16777216|32|simulation|6989|11691734.578237570:|16273|cache-misses:
row|16777216|32|simulation|6989|11691734.578430325:|2605|branch-misses:
row|16777216|32|simulation|6989|11691734.582159308:|2652|branch-misses:
row|16777216|32|simulation|6989|11691734.582348983:|16236|cache-misses:
row|16777216|32|simulation|6989|11691734.586153989:|2662|branch-misses:
row|16777216|32|simulation|6989|11691734.586277321:|16235|cache-misses:
row|16777216|32|simulation|6989|11691734.589928745:|2717|branch-misses:
row|16777216|32|simulation|6989|11691734.590367945:|16039|cache-misses:
row|16777216|32|simulation|6989|11691734.593446332:|2861|branch-misses:
row|16777216|32|simulation|6989|11691734.594418018:|16023|cache-misses:
row|16777216|32|simulation|6989|11691734.597623445:|2800|branch-misses:
row|16777216|32|simulation|6989|11691734.598223912:|16391|cache-misses:
row|16777216|32|simulation|6989|11691734.601763426:|2776|branch-misses:
row|16777216|32|simulation|6989|11691734.602275826:|16328|cache-misses:
row|16777216|32|simulation|6989|11691734.605795136:|2764|branch-misses:
row|16777216|32|simulation|6989|11691734.606347321:|16111|cache-misses:
row|16777216|32|simulation|6989|11691734.609821806:|2752|branch-misses:
row|16777216|32|simulation|6989|11691734.610328389:|16343|cache-misses:
row|16777216|32|simulation|6989|11691734.613888000:|2752|branch-misses:
row|16777216|32|simulation|6989|11691734.614231347:|16372|cache-misses:
row|16777216|32|simulation|6989|11691734.617869481:|2732|branch-misses:
row|16777216|32|simulation|6989|11691734.618259722:|16243|cache-misses:
row|16777216|32|simulation|6989|11691734.621464355:|2863|branch-misses:
row|16777216|32|simulation|6989|11691734.622244555:|16429|cache-misses:
row|16777216|32|simulation|6989|11691734.625002380:|3008|branch-misses:
row|16777216|32|simulation|6989|11691734.626139980:|16613|cache-misses:
row|16777216|32|simulation|6989|11691734.628935555:|3031|branch-misses:
row|16777216|32|simulation|6989|11691734.629987094:|16701|cache-misses:
row|16777216|32|simulation|6989|11691734.632821511:|3075|branch-misses:
row|16777216|32|simulation|6989|11691734.633528528:|17654|cache-misses:
row|16777216|32|simulation|6989|11691734.636459953:|3189|branch-misses:
row|16777216|32|simulation|6989|11691734.637318249:|18074|cache-misses:
row|16777216|32|simulation|6989|11691734.640696264:|3120|branch-misses:
row|16777216|32|simulation|6989|11691734.641305803:|18040|cache-misses:
row|16777216|32|simulation|6989|11691734.644979968:|3037|branch-misses:
row|16777216|32|simulation|6989|11691734.645164904:|18479|cache-misses:
row|16777216|32|simulation|6989|11691734.649120467:|18345|cache-misses:
row|16777216|32|simulation|6989|11691734.649213585:|2978|branch-misses:
row|16777216|32|simulation|6989|11691734.653034942:|18668|cache-misses:
row|16777216|32|simulation|6989|11691734.653213394:|2960|branch-misses:
row|16777216|32|simulation|6989|11691734.656985604:|18808|cache-misses:
row|16777216|32|simulation|6989|11691734.657310527:|2929|branch-misses:
row|16777216|32|simulation|6989|11691734.660996239:|18673|cache-misses:
row|16777216|32|simulation|6989|11691734.661252882:|2949|branch-misses:
row|16777216|32|simulation|6989|11691734.664992030:|18662|cache-misses:
row|16777216|32|simulation|6989|11691734.665179640:|2998|branch-misses:
row|16777216|32|simulation|6989|11691734.668996379:|18665|cache-misses:
row|16777216|32|simulation|6989|11691734.669246631:|2984|branch-misses:
row|16777216|32|simulation|6989|11691734.672821635:|19022|cache-misses:
row|16777216|32|simulation|6989|11691734.673233304:|2968|branch-misses:
row|16777216|32|simulation|6989|11691734.676807613:|19069|cache-misses:
row|16777216|32|simulation|6989|11691734.677303660:|2937|branch-misses:
row|16777216|32|simulation|6989|11691734.680782486:|19189|cache-misses:
row|16777216|32|simulation|6989|11691734.680849880:|3077|branch-misses:
row|16777216|32|simulation|6989|11691734.684849272:|19141|cache-misses:
row|16777216|32|simulation|6989|11691734.684919944:|3053|branch-misses:
row|16777216|32|simulation|6989|11691734.688986866:|18917|cache-misses:
