category,count,columns,cmd,pid,time,counter,event,ptr,fun,lib
row_all,16777216,3,simulation,6104,11651527.821007:,8155,cache-misses:,ffffffff8d239bae,get_page_from_freelist+0x8ce,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651527.827388:,64569,branch-misses:,402070,rand@plt+0x0,(/experiments/sorting_simulation/simulation)
row_all,16777216,3,simulation,6104,11651527.830909:,8213,cache-misses:,ffffffff8d2ce467,mem_cgroup_try_charge+0x7,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651527.837332:,64879,branch-misses:,ffffffff8d277ebf,find_vma+0x1f,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651527.841001:,8207,cache-misses:,ffffffff8d2ce471,mem_cgroup_try_charge+0x11,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651527.847366:,64664,branch-misses:,7f0b17a58e90,rand+0x0,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651527.851013:,8163,cache-misses:,ffffffff8d2a1e94,alloc_pages_vma+0x94,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651527.857533:,63784,branch-misses:,ffffffff8d26681f,vmacache_find+0x4f,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651527.860900:,8226,cache-misses:,ffffffff8d239b00,get_page_from_freelist+0x820,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651527.867634:,63322,branch-misses:,7f0b17a589e9,random+0x69,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651527.871009:,8197,cache-misses:,ffffffff8d23bd74,__alloc_pages_nodemask+0x244,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651527.877664:,63216,branch-misses:,ffffffff8d24317b,__pagevec_lru_add_fn+0x2b,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651527.880180:,8824,cache-misses:,ffffffff8d236168,bad_range+0x68,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651527.887690:,63108,branch-misses:,7f0b17a589e9,random+0x69,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
