category|count|columns|cmd|pid|time|counter|event
col_all|16777216|3|simulation|6905|11691589.185584017:|25878|branch-misses:
col_all|16777216|3|simulation|6905|11691589.187990774:|3279|cache-misses:
col_all|16777216|3|simulation|6905|11691589.189608028:|25842|branch-misses:
col_all|16777216|3|simulation|6905|11691589.191997389:|3267|cache-misses:
col_all|16777216|3|simulation|6905|11691589.193662380:|25667|branch-misses:
col_all|16777216|3|simulation|6905|11691589.196036444:|3259|cache-misses:
col_all|16777216|3|simulation|6905|11691589.197594568:|25841|branch-misses:
col_all|16777216|3|simulation|6905|11691589.200056431:|3256|cache-misses:
col_all|16777216|3|simulation|6905|11691589.201607241:|25834|branch-misses:
col_all|16777216|3|simulation|6905|11691589.204128139:|3248|cache-misses:
col_all|16777216|3|simulation|6905|11691589.205653270:|25693|branch-misses:
col_all|16777216|3|simulation|6905|11691589.208071876:|3268|cache-misses:
col_all|16777216|3|simulation|6905|11691589.209582020:|25873|branch-misses:
col_all|16777216|3|simulation|6905|11691589.212260607:|3201|cache-misses:
col_all|16777216|3|simulation|6905|11691589.213609564:|25835|branch-misses:
col_all|16777216|3|simulation|6905|11691589.216484292:|3149|cache-misses:
col_all|16777216|3|simulation|6905|11691589.217638448:|25739|branch-misses:
col_all|16777216|3|simulation|6905|11691589.220534898:|3114|cache-misses:
col_all|16777216|3|simulation|6905|11691589.221570358:|25917|branch-misses:
col_all|16777216|3|simulation|6905|11691589.224637787:|3088|cache-misses:
col_all|16777216|3|simulation|6905|11691589.225606643:|25859|branch-misses:
col_all|16777216|3|simulation|6905|11691589.228475278:|3133|cache-misses:
col_all|16777216|3|simulation|6905|11691589.229677236:|25677|branch-misses:
col_all|16777216|3|simulation|6905|11691589.232527654:|3096|cache-misses:
col_all|16777216|3|simulation|6905|11691589.233689679:|25640|branch-misses:
col_all|16777216|3|simulation|6905|11691589.236650595:|3067|cache-misses:
col_all|16777216|3|simulation|6905|11691589.237898600:|25142|branch-misses:
col_all|16777216|3|simulation|6905|11691589.240847553:|3035|cache-misses:
col_all|16777216|3|simulation|6905|11691589.241984434:|24963|branch-misses:
col_all|16777216|3|simulation|6905|11691589.244482301:|3119|cache-misses:
col_all|16777216|3|simulation|6905|11691589.246093932:|24649|branch-misses:
col_all|16777216|3|simulation|6905|11691589.248778700:|3058|cache-misses:
col_all|16777216|3|simulation|6905|11691589.250154185:|24534|branch-misses:
col_all|16777216|3|simulation|6905|11691589.252803794:|3049|cache-misses:
col_all|16777216|3|simulation|6905|11691589.253969763:|24907|branch-misses:
col_all|16777216|3|simulation|6905|11691589.256792878:|3061|cache-misses:
col_all|16777216|3|simulation|6905|11691589.257900629:|25104|branch-misses:
col_all|16777216|3|simulation|6905|11691589.260773350:|3068|cache-misses:
col_all|16777216|3|simulation|6905|11691589.261853041:|25166|branch-misses:
col_all|16777216|3|simulation|6905|11691589.264770510:|3067|cache-misses:
col_all|16777216|3|simulation|6905|11691589.265770686:|25426|branch-misses:
col_all|16777216|3|simulation|6905|11691589.268813995:|3063|cache-misses:
col_all|16777216|3|simulation|6905|11691589.269773964:|25422|branch-misses:
col_all|16777216|3|simulation|6905|11691589.272744827:|3069|cache-misses:
col_all|16777216|3|simulation|6905|11691589.273777860:|25377|branch-misses:
col_all|16777216|3|simulation|6905|11691589.276633221:|3087|cache-misses:
col_all|16777216|3|simulation|6905|11691589.277734880:|25521|branch-misses:
col_all|16777216|3|simulation|6905|11691589.280683412:|3073|cache-misses:
col_all|16777216|3|simulation|6905|11691589.281759494:|25468|branch-misses:
col_all|16777216|3|simulation|6905|11691589.284692979:|3101|cache-misses:
col_all|16777216|3|simulation|6905|11691589.285759015:|25434|branch-misses:
col_all|16777216|3|simulation|6905|11691589.288738464:|3090|cache-misses:
col_all|16777216|3|simulation|6905|11691589.289734810:|25539|branch-misses:
col_all|16777216|3|simulation|6905|11691589.292712868:|3089|cache-misses:
col_all|16777216|3|simulation|6905|11691589.293762657:|25478|branch-misses:
col_all|16777216|3|simulation|6905|11691589.296696580:|3091|cache-misses:
col_all|16777216|3|simulation|6905|11691589.297768069:|25427|branch-misses:
