category,count,columns,distribution,time,event,counter
pdq_static,16777216,4,random,98569.629017,branch-misses,20000
pdq_static,16777216,4,random,98569.630064,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.632363,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.634201,branch-misses,20000
pdq_static,16777216,4,random,98569.634691,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.636982,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.639305,branch-misses,20000
pdq_static,16777216,4,random,98569.639310,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.641621,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.643947,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.644463,branch-misses,20000
pdq_static,16777216,4,random,98569.646228,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.648542,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.649768,branch-misses,20000
pdq_static,16777216,4,random,98569.650842,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.653159,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.654969,branch-misses,20000
pdq_static,16777216,4,random,98569.655453,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.657744,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.660062,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.660064,branch-misses,20000
pdq_static,16777216,4,random,98569.662337,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.664590,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.665276,branch-misses,20000
pdq_static,16777216,4,random,98569.666913,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.669174,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.670572,branch-misses,20000
pdq_static,16777216,4,random,98569.671474,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.673756,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.675729,branch-misses,20000
pdq_static,16777216,4,random,98569.676068,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.678362,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.680616,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.680855,branch-misses,20000
pdq_static,16777216,4,random,98569.682896,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.685165,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.686119,branch-misses,20000
pdq_static,16777216,4,random,98569.687426,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.689698,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.691363,branch-misses,20000
pdq_static,16777216,4,random,98569.692014,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.694304,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.696477,branch-misses,20000
pdq_static,16777216,4,random,98569.696580,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.698889,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.701176,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.701681,branch-misses,20000
pdq_static,16777216,4,random,98569.703419,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.705728,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.706860,branch-misses,20000
pdq_static,16777216,4,random,98569.708035,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.710346,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.712015,branch-misses,20000
pdq_static,16777216,4,random,98569.712613,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.714924,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.716957,branch-misses,20000
pdq_static,16777216,4,random,98569.717193,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.719524,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.721832,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.722217,branch-misses,20000
pdq_static,16777216,4,random,98569.724158,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.726476,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.727381,branch-misses,20000
pdq_static,16777216,4,random,98569.728778,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.731075,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.732462,branch-misses,20000
pdq_static,16777216,4,random,98569.733337,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.735656,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.737506,branch-misses,20000
pdq_static,16777216,4,random,98569.737919,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.740235,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.742542,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.742770,branch-misses,20000
pdq_static,16777216,4,random,98569.744846,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.747174,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.747987,branch-misses,20000
pdq_static,16777216,4,random,98569.749473,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.751790,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.753069,branch-misses,20000
pdq_static,16777216,4,random,98569.754077,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.756384,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.758287,branch-misses,20000
pdq_static,16777216,4,random,98569.758717,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.761016,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.763328,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.763581,branch-misses,20000
pdq_static,16777216,4,random,98569.765601,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.767934,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.768751,branch-misses,20000
pdq_static,16777216,4,random,98569.770210,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.772509,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.773817,branch-misses,20000
pdq_static,16777216,4,random,98569.774817,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.777114,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.779104,branch-misses,20000
pdq_static,16777216,4,random,98569.779429,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.781743,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.784056,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.784361,branch-misses,20000
pdq_static,16777216,4,random,98569.786356,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.788658,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.789515,branch-misses,20000
pdq_static,16777216,4,random,98569.790965,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.793247,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.794721,branch-misses,20000
pdq_static,16777216,4,random,98569.795570,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.797867,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.799948,branch-misses,20000
pdq_static,16777216,4,random,98569.800206,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.802522,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.804832,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.805095,branch-misses,20000
pdq_static,16777216,4,random,98569.807153,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.809443,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.810225,branch-misses,20000
pdq_static,16777216,4,random,98569.811750,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.814074,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.815393,branch-misses,20000
pdq_static,16777216,4,random,98569.816367,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.818708,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.820669,branch-misses,20000
pdq_static,16777216,4,random,98569.821006,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.823296,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.825595,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.825724,branch-misses,20000
pdq_static,16777216,4,random,98569.827895,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.830205,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.830898,branch-misses,20000
pdq_static,16777216,4,random,98569.832489,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.834840,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.836076,branch-misses,20000
pdq_static,16777216,4,random,98569.837121,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.839470,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.841308,branch-misses,20000
pdq_static,16777216,4,random,98569.841764,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.844108,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.846393,branch-misses,20000
pdq_static,16777216,4,random,98569.846395,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.848750,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.851134,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.851655,branch-misses,20000
pdq_static,16777216,4,random,98569.853485,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.855920,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.857015,branch-misses,20000
pdq_static,16777216,4,random,98569.858217,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.860513,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.862165,branch-misses,20000
pdq_static,16777216,4,random,98569.862845,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.865145,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.867295,branch-misses,20000
pdq_static,16777216,4,random,98569.867462,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.869769,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.872121,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.872464,branch-misses,20000
pdq_static,16777216,4,random,98569.874420,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.876743,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.877747,branch-misses,20000
pdq_static,16777216,4,random,98569.879060,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.881362,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.882809,branch-misses,20000
pdq_static,16777216,4,random,98569.883656,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.885965,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.887985,branch-misses,20000
pdq_static,16777216,4,random,98569.888249,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.890600,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.892924,L1-dcache-load-misses,20000
pdq_static,16777216,4,random,98569.893160,branch-misses,20000
